19 possible combinations of variants for marker 'A'
1,1	2,3	
1,2	1,3	
1,2	2,3	
1,2	3,3	
1,2	3,4	
1,3	2,2	
1,3	2,3	
1,3	2,4	
1,4	2,3	
2,2	2,3	
2,2	3,3	
2,2	3,4	
2,3	2,3	
2,3	2,4	
2,3	3,3	
2,3	3,4	
2,3	4,4	
2,4	3,3	
2,4	3,4	

12 possible combinations of variants for marker 'B'
1,2	3,5	
1,3	2,5	
1,5	2,3	
2,2	3,5	
2,3	2,5	
2,3	3,5	
2,3	4,5	
2,3	5,5	
2,4	3,5	
2,5	3,3	
2,5	3,4	
2,5	3,5	

12 possible combinations of variants for marker 'C'
1,2	3,4	
1,3	2,4	
1,4	2,3	
2,2	3,4	
2,3	2,4	
2,3	3,4	
2,3	4,4	
2,3	4,5	
2,4	3,3	
2,4	3,4	
2,4	3,5	
2,5	3,4	

